epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
71,3989.13,0.68858,0.40782,0.87451,0.85821,0.78189,0.87417,0.6632,1.0245,0.56404,1.05269,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769,0.02307,0.00769
72,4045.24,0.68713,0.40591,0.8762,0.82021,0.80866,0.86828,0.65854,1.03645,0.57003,1.05738,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657,0.022971,0.007657
73,4101.84,0.68717,0.40445,0.87505,0.78477,0.82302,0.85651,0.65908,1.02525,0.56888,1.05364,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
74,4157.96,0.6864,0.40488,0.87443,0.88365,0.7712,0.86562,0.66398,1.02681,0.57201,1.05483,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591,0.022773,0.007591
75,4214.41,0.67457,0.40159,0.87322,0.85734,0.78246,0.85419,0.65894,1.02757,0.5655,1.05304,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558,0.022674,0.007558
76,4270.72,0.67606,0.3984,0.87351,0.87721,0.77402,0.86335,0.66545,1.02082,0.55882,1.04912,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
77,4326.9,0.67285,0.39669,0.87184,0.90743,0.75542,0.86624,0.66984,1.02574,0.56578,1.05447,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492,0.022476,0.007492
78,4382.73,0.66753,0.39552,0.87167,0.81571,0.79513,0.85302,0.65558,1.03324,0.55757,1.05378,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459,0.022377,0.007459
79,4438.91,0.66588,0.3931,0.87012,0.8608,0.78222,0.84885,0.65707,1.03116,0.55797,1.05554,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
80,4494.78,0.66869,0.39349,0.87245,0.88456,0.74971,0.84836,0.65393,1.0228,0.55455,1.05794,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393,0.022179,0.007393
81,4550.16,0.65494,0.38728,0.86747,0.8408,0.79288,0.85038,0.65731,1.03172,0.54896,1.05983,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736,0.02208,0.00736
82,4605.49,0.6557,0.3877,0.86735,0.85654,0.78814,0.84755,0.64687,1.03161,0.55969,1.05981,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
83,4661.68,0.65342,0.38762,0.86677,0.80988,0.79514,0.83938,0.64663,1.02883,0.54999,1.05635,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294,0.021882,0.007294
84,4718.18,0.64935,0.38758,0.86328,0.87727,0.78028,0.84074,0.64814,1.03061,0.56376,1.05966,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261,0.021783,0.007261
85,4774.05,0.64843,0.38435,0.86316,0.87863,0.77839,0.84788,0.64789,1.02116,0.55824,1.05822,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
86,4829.5,0.64834,0.38424,0.86662,0.89676,0.76566,0.84673,0.65471,1.0144,0.55444,1.05391,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195,0.021585,0.007195
87,4885.13,0.64761,0.38153,0.866,0.88404,0.77826,0.85354,0.6543,1.02455,0.54801,1.05767,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162,0.021486,0.007162
88,4940.69,0.64673,0.3845,0.86326,0.89775,0.76818,0.86201,0.66156,1.0177,0.54355,1.05673,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
89,4997.13,0.63153,0.37707,0.86016,0.80317,0.83209,0.86746,0.67132,1.01589,0.54674,1.05529,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096,0.021288,0.007096
90,5053.17,0.63632,0.37883,0.86049,0.87135,0.78439,0.86315,0.66506,1.02116,0.54145,1.05966,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063,0.021189,0.007063
91,5108.58,0.6326,0.37727,0.86122,0.87614,0.78865,0.85481,0.65873,1.01638,0.52914,1.0539,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
92,5164.79,0.62727,0.3759,0.85657,0.86747,0.79488,0.84414,0.65426,1.01117,0.5436,1.05485,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997,0.020991,0.006997
93,5220.27,0.62712,0.37018,0.85816,0.90309,0.7678,0.85816,0.66124,1.01418,0.54316,1.05683,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964,0.020892,0.006964
94,5275.92,0.62761,0.37404,0.85744,0.83572,0.79951,0.86107,0.66129,1.02255,0.54833,1.06282,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
95,5331.83,0.62312,0.36989,0.86108,0.87255,0.78965,0.86157,0.66406,1.00875,0.54425,1.05445,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898,0.020694,0.006898
96,5387.84,0.62394,0.37026,0.85751,0.88412,0.76503,0.85572,0.66026,1.01086,0.54762,1.05741,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865,0.020595,0.006865
97,5443.96,0.61449,0.3646,0.85729,0.8144,0.81193,0.84934,0.65855,1.0031,0.54333,1.05589,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
98,5499.67,0.6156,0.36694,0.85583,0.8466,0.80539,0.85432,0.65766,1.00046,0.54923,1.05371,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799,0.020397,0.006799
99,5555.27,0.60926,0.36217,0.85523,0.79968,0.8237,0.85357,0.65633,0.99901,0.54889,1.05339,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766,0.020298,0.006766
